state,info
Alabama,4
Alaska,0
Arkansas,4
Arizona,0
California,0
Colorado,1
Connecticut,3
Delaware,2
Florida,4
Georgia,4
Hawaii,4
Iowa,1
Idaho,0
Illinois,1
Indiana,1
Kansas,1
Kentucky,1
Louisiana,4
Maine,3
Maryland,2
Massachusetts,3
Michigan,1
Minnesota,1
Missouri,1
Mississippi,4
Montana,1
North Carolina,4
North Dakota,1
Nebraska,1
New Hampshire,3
New Jersey,2
New Mexico,0
Nevada,0
New York,2
Ohio,1
Oklahoma,1
Oregon,0
Pennsylvania,2
Rhode Island,3
South Carolina,4
South Dakota,1
Tennessee,4
Texas,4
Utah,0
Virginia,4
Vermont,3
Washington,0
Wisconsin,1
West Virginia,1
Wyoming,1
